Rank,StartTime,Flgs,Proto,SrcAddr,Sport,DstAddr,Dport,TotPkts,TotBytes,State,LastTime,Seq,Dur,Mean,StdDev,Sum,Min,Max,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcRate,DstRate,Label,Tactic,Technique,SubTechnique
2014,1646801192.7299821, e        ,tcp,192.168.1.212,44870,192.168.1.21,80,10,1336,sSEfF,1646801192.731703,1792,0.001721,0.001721,0.0,0.001721,0.001721,0.001721,6,4,560,776,5229.518066,2905.287598,1743.172607,0,Normal,Normal,Normal
2015,1646801192.7330446, e        ,udp,192.168.1.212,33165,192.168.1.21,53,2,160,CON,1646801192.73336,1793,0.000315,0.000315,0.0,0.000315,0.000315,0.000315,1,1,72,88,3174.603027,0.0,0.0,0,Normal,Normal,Normal
2016,1646801192.73305, e        ,udp,192.168.1.212,33165,192.168.1.21,53,2,144,CON,1646801192.733365,1794,0.000315,0.000315,0.0,0.000315,0.000315,0.000315,1,1,72,72,3174.603027,0.0,0.0,0,Normal,Normal,Normal
2017,1646801192.733659, e        ,tcp,192.168.1.212,44872,192.168.1.21,80,10,1334,sSEfF,1646801192.7355974,1795,0.001938,0.001938,0.0,0.001938,0.001938,0.001938,6,4,559,775,4643.962890999999,2579.9794920000004,1547.987671,0,Normal,Normal,Normal
2018,1646801192.755202, e        ,udp,192.168.1.212,57988,192.168.1.21,53,2,160,CON,1646801192.7556481,1796,0.000446,0.000446,0.0,0.000446,0.000446,0.000446,1,1,72,88,2242.152588,0.0,0.0,0,Normal,Normal,Normal
2019,1646801192.755215, e        ,udp,192.168.1.212,57988,192.168.1.21,53,2,144,CON,1646801192.755655,1797,0.00044,0.00044,0.0,0.00044,0.00044,0.00044,1,1,72,72,2272.727295,0.0,0.0,0,Normal,Normal,Normal
2020,1646801192.756093, e        ,tcp,192.168.1.212,53320,192.168.1.21,21,37,3120,sSEfF,1646801192.798534,1798,0.042441,0.042441,0.0,0.042441,0.042441,0.042441,18,19,1364,1756,848.236389,400.556061,424.118195,0,Normal,Normal,Normal
2022,1646801192.760874, e        ,udp,192.168.1.21,45102,8.8.8.8,53,1,86,INT,1646801192.760874,1800,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
2023,1646801192.789416, e        ,tcp,192.168.1.21,20,192.168.1.212,46565,6,422,sSEfF,1646801192.791678,1801,0.002262,0.002262,0.0,0.002262,0.002262,0.002262,4,2,282,140,2210.43335,1326.26001,442.086639,0,Normal,Normal,Normal
2024,1646801192.7947538, e        ,tcp,192.168.1.21,20,192.168.1.212,52179,8,561,sSEfF,1646801192.796709,1802,0.001955,0.001955,0.0,0.001955,0.001955,0.001955,5,3,355,206,3580.562744,2046.035767,1023.017883,0,Normal,Normal,Normal
2025,1646801192.802372, e        ,udp,192.168.1.212,46064,192.168.1.21,53,2,160,CON,1646801192.80277,1803,0.000398,0.000398,0.0,0.000398,0.000398,0.000398,1,1,72,88,2512.5627440000007,0.0,0.0,0,Normal,Normal,Normal
2026,1646801192.80238, e        ,udp,192.168.1.212,46064,192.168.1.21,53,2,144,CON,1646801192.8027759,1804,0.000396,0.000396,0.0,0.000396,0.000396,0.000396,1,1,72,72,2525.252686,0.0,0.0,0,Normal,Normal,Normal
2027,1646801192.80312, e        ,tcp,192.168.1.212,53322,192.168.1.21,21,39,3283,sSEfF,1646801193.041808,1805,0.238688,0.238688,0.0,0.238688,0.238688,0.238688,19,20,1443,1840,159.203644,75.412254,79.601822,0,Normal,Normal,Normal
2029,1646801193.002887, e        ,udp,192.168.1.21,43717,8.8.8.8,53,1,86,INT,1646801193.002887,1807,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
2030,1646801193.031942, e        ,tcp,192.168.1.21,20,192.168.1.212,58115,6,422,sSEfF,1646801193.034406,1808,0.002464,0.002464,0.0,0.002464,0.002464,0.002464,4,2,282,140,2029.220825,1217.532471,405.844177,0,Normal,Normal,Normal
2031,1646801193.038509, e        ,tcp,192.168.1.21,20,192.168.1.212,60279,8,561,sSEfF,1646801193.040651,1809,0.002142,0.002142,0.0,0.002142,0.002142,0.002142,4,4,272,289,3267.973877,1400.560181,1400.560181,0,Normal,Normal,Normal
2037,1646801193.401203, e s      ,tcp,192.168.1.21,43393,192.168.1.164,514,4,718,E,1646801193.401298,15,9.5e-05,9.5e-05,0.0,9.5e-05,9.5e-05,9.5e-05,2,2,574,144,31578.947266000006,10526.31543,10526.31543,0,Normal,Normal,Normal
2043,1646801193.955452, e        ,udp,192.168.1.111,46218,192.168.1.11,53,2,160,CON,1646801193.955953,1812,0.0005009999999999999,0.0005009999999999999,0.0,0.0005009999999999999,0.0005009999999999999,0.0005009999999999999,1,1,72,88,1996.008057,0.0,0.0,0,Normal,Normal,Normal
2044,1646801193.955483, e        ,udp,192.168.1.111,46218,192.168.1.11,53,2,144,CON,1646801193.95596,1813,0.000477,0.000477,0.0,0.000477,0.000477,0.000477,1,1,72,72,2096.436035,0.0,0.0,0,Normal,Normal,Normal
2045,1646801193.956171, e        ,tcp,192.168.1.111,35374,192.168.1.11,21,37,3107,sSEfF,1646801194.0102036,1814,0.054033000000000005,0.054033000000000005,0.0,0.054033000000000005,0.054033000000000005,0.054033000000000005,18,19,1359,1748,666.259521,314.622559,333.129761,0,Normal,Normal,Normal
2048,1646801193.994256, e        ,udp,192.168.1.111,44459,192.168.1.11,53,2,160,CON,1646801193.9945462,1817,0.00029,0.00029,0.0,0.00029,0.00029,0.00029,1,1,72,88,3448.275879,0.0,0.0,0,Normal,Normal,Normal
2049,1646801193.994265, e        ,udp,192.168.1.111,44459,192.168.1.11,53,2,144,CON,1646801193.994552,1818,0.00028700000000000004,0.00028700000000000004,0.0,0.00028700000000000004,0.00028700000000000004,0.00028700000000000004,1,1,72,72,3484.320557,0.0,0.0,0,Normal,Normal,Normal
2050,1646801193.994822, e        ,tcp,192.168.1.111,55230,192.168.1.11,80,10,1330,sSEfF,1646801193.998039,1819,0.003217,0.003217,0.0,0.003217,0.003217,0.003217,6,4,557,773,2797.637451,1554.243042,932.545837,0,Normal,Normal,Normal
2051,1646801193.995415, e        ,tcp,192.168.1.11,20,192.168.1.111,52211,6,422,sSEfF,1646801193.997184,1820,0.0017690000000000004,0.0017690000000000004,0.0,0.0017690000000000004,0.0017690000000000004,0.0017690000000000004,4,2,282,140,2826.455566,1695.8734129999998,565.2911379999998,0,Normal,Normal,Normal
2052,1646801193.998693, e        ,udp,192.168.1.111,51677,192.168.1.11,53,2,160,CON,1646801193.998883,1821,0.00019,0.00019,0.0,0.00019,0.00019,0.00019,1,1,72,88,5263.157715,0.0,0.0,0,Normal,Normal,Normal
2053,1646801193.998699, e        ,udp,192.168.1.111,51677,192.168.1.11,53,2,144,CON,1646801193.998889,1822,0.00019,0.00019,0.0,0.00019,0.00019,0.00019,1,1,72,72,5263.157715,0.0,0.0,0,Normal,Normal,Normal
2054,1646801193.999033, e        ,tcp,192.168.1.111,55232,192.168.1.11,80,10,1330,sSEfF,1646801194.000891,1823,0.001858,0.001858,0.0,0.001858,0.001858,0.001858,6,4,557,773,4843.918457,2691.065674,1614.639404,0,Normal,Normal,Normal
2055,1646801194.001806, e        ,udp,192.168.1.111,49917,192.168.1.11,53,2,160,CON,1646801194.0019786,1824,0.000173,0.000173,0.0,0.000173,0.000173,0.000173,1,1,72,88,5780.347168,0.0,0.0,0,Normal,Normal,Normal
2056,1646801194.001812, e        ,udp,192.168.1.111,49917,192.168.1.11,53,2,144,CON,1646801194.001985,1825,0.000173,0.000173,0.0,0.000173,0.000173,0.000173,1,1,72,72,5780.347168,0.0,0.0,0,Normal,Normal,Normal
2057,1646801194.002149, e        ,tcp,192.168.1.111,55234,192.168.1.11,80,10,1334,sSEfF,1646801194.003716,1826,0.001567,0.001567,0.0,0.001567,0.001567,0.001567,6,4,559,775,5743.458496,3190.810303,1914.486206,0,Normal,Normal,Normal
2058,1646801194.004559, e        ,udp,192.168.1.111,58356,192.168.1.11,53,2,160,CON,1646801194.0047722,1827,0.000213,0.000213,0.0,0.000213,0.000213,0.000213,1,1,72,88,4694.835449,0.0,0.0,0,Normal,Normal,Normal
2059,1646801194.004563, e        ,udp,192.168.1.111,58356,192.168.1.11,53,2,144,CON,1646801194.004778,1828,0.000215,0.000215,0.0,0.000215,0.000215,0.000215,1,1,72,72,4651.163086,0.0,0.0,0,Normal,Normal,Normal
2060,1646801194.0048661, e        ,tcp,192.168.1.111,55236,192.168.1.11,80,10,1334,sSEfF,1646801194.006036,1829,0.00117,0.00117,0.0,0.00117,0.00117,0.00117,6,4,559,775,7692.308105,4273.504395,2564.102783,0,Normal,Normal,Normal
2061,1646801194.006309, e        ,tcp,192.168.1.11,20,192.168.1.111,57915,8,561,sSEfF,1646801194.008841,1830,0.002532,0.002532,0.0,0.002532,0.002532,0.002532,5,3,355,206,2764.613037,1579.778809,789.889404,0,Normal,Normal,Normal
2062,1646801194.007078, e        ,udp,192.168.1.111,55361,192.168.1.11,53,2,160,CON,1646801194.007199,1831,0.000121,0.000121,0.0,0.000121,0.000121,0.000121,1,1,72,88,8264.462891,0.0,0.0,0,Normal,Normal,Normal
2063,1646801194.007082, e        ,udp,192.168.1.111,55361,192.168.1.11,53,2,144,CON,1646801194.0072026,1832,0.000121,0.000121,0.0,0.000121,0.000121,0.000121,1,1,72,72,8264.462891,0.0,0.0,0,Normal,Normal,Normal
2064,1646801194.0073571, e        ,tcp,192.168.1.111,55238,192.168.1.11,80,10,1334,sSEfF,1646801194.008837,1833,0.00148,0.00148,0.0,0.00148,0.00148,0.00148,6,4,559,775,6081.081055,3378.378418,2027.0271,0,Normal,Normal,Normal
2065,1646801194.010537, e        ,udp,192.168.1.111,49409,192.168.1.11,53,2,160,CON,1646801194.010873,1834,0.000336,0.000336,0.0,0.000336,0.000336,0.000336,1,1,72,88,2976.19043,0.0,0.0,0,Normal,Normal,Normal
2066,1646801194.010541, e        ,udp,192.168.1.111,49409,192.168.1.11,53,2,144,CON,1646801194.010876,1835,0.000335,0.000335,0.0,0.000335,0.000335,0.000335,1,1,72,72,2985.074707,0.0,0.0,0,Normal,Normal,Normal
2067,1646801194.0111132, e        ,tcp,192.168.1.111,55240,192.168.1.11,80,10,1328,sSEfF,1646801194.012235,1836,0.0011220000000000002,0.0011220000000000002,0.0,0.0011220000000000002,0.0011220000000000002,0.0011220000000000002,6,4,556,772,8021.390137,4456.3276369999985,2673.796631,0,Normal,Normal,Normal
2068,1646801194.0130632, e        ,udp,192.168.1.111,48609,192.168.1.11,53,2,160,CON,1646801194.013254,1837,0.000191,0.000191,0.0,0.000191,0.000191,0.000191,1,1,72,88,5235.602051,0.0,0.0,0,Normal,Normal,Normal
2069,1646801194.013067, e        ,udp,192.168.1.111,48609,192.168.1.11,53,2,144,CON,1646801194.013258,1838,0.000191,0.000191,0.0,0.000191,0.000191,0.000191,1,1,72,72,5235.602051,0.0,0.0,0,Normal,Normal,Normal
2070,1646801194.013402, e        ,tcp,192.168.1.111,55242,192.168.1.11,80,10,1344,sSEfF,1646801194.014561,1839,0.001159,0.001159,0.0,0.001159,0.001159,0.001159,6,4,564,780,7765.314941,4314.063965,2588.438477,0,Normal,Normal,Normal
2071,1646801194.0153134, e        ,udp,192.168.1.111,35987,192.168.1.11,53,2,160,CON,1646801194.0154474,1840,0.000134,0.000134,0.0,0.000134,0.000134,0.000134,1,1,72,88,7462.686523,0.0,0.0,0,Normal,Normal,Normal
2072,1646801194.015317, e        ,udp,192.168.1.111,35987,192.168.1.11,53,2,144,CON,1646801194.01545,1841,0.000133,0.000133,0.0,0.000133,0.000133,0.000133,1,1,72,72,7518.797363,0.0,0.0,0,Normal,Normal,Normal
2073,1646801194.015892, e        ,udp,192.168.1.111,45449,192.168.1.11,53,2,160,CON,1646801194.016049,1842,0.000157,0.000157,0.0,0.000157,0.000157,0.000157,1,1,72,88,6369.426758,0.0,0.0,0,Normal,Normal,Normal
2074,1646801194.015897, e        ,udp,192.168.1.111,45449,192.168.1.11,53,2,144,CON,1646801194.016099,1843,0.000202,0.000202,0.0,0.000202,0.000202,0.000202,1,1,72,72,4950.495117,0.0,0.0,0,Normal,Normal,Normal
2075,1646801194.0159972, e        ,tcp,192.168.1.111,55244,192.168.1.11,80,10,1336,sSEfF,1646801194.017336,1844,0.001339,0.001339,0.0,0.001339,0.001339,0.001339,6,4,560,776,6721.434081999999,3734.130127,2240.478027,0,Normal,Normal,Normal
2076,1646801194.016425, e        ,tcp,192.168.1.111,35392,192.168.1.11,21,39,3273,sSEfF,1646801194.338258,1845,0.321833,0.321833,0.0,0.321833,0.321833,0.321833,19,20,1441,1832,118.073654,55.929626,59.036827,0,Normal,Normal,Normal
2077,1646801194.018099, e        ,udp,192.168.1.111,60024,192.168.1.11,53,2,160,CON,1646801194.018219,1846,0.00012,0.00012,0.0,0.00012,0.00012,0.00012,1,1,72,88,8333.333984,0.0,0.0,0,Normal,Normal,Normal
2078,1646801194.018102, e        ,udp,192.168.1.111,60024,192.168.1.11,53,2,144,CON,1646801194.0182679,1847,0.000166,0.000166,0.0,0.000166,0.000166,0.000166,1,1,72,72,6024.09668,0.0,0.0,0,Normal,Normal,Normal
2079,1646801194.018377, e        ,tcp,192.168.1.111,55248,192.168.1.11,80,10,1334,sSEfF,1646801194.019438,1848,0.001061,0.001061,0.0,0.001061,0.001061,0.001061,6,4,559,775,8482.563477,4712.535156,2827.520996,0,Normal,Normal,Normal
2083,1646801194.328434, e        ,tcp,192.168.1.11,20,192.168.1.111,36519,6,422,sSEfF,1646801194.331204,1851,0.00277,0.00277,0.0,0.00277,0.00277,0.00277,4,2,282,140,1805.054199,1083.032471,361.010834,0,Normal,Normal,Normal
2084,1646801194.334877, e        ,tcp,192.168.1.11,20,192.168.1.111,38097,8,561,sSEfF,1646801194.336715,1852,0.001838,0.001838,0.0,0.001838,0.001838,0.001838,4,4,272,289,3808.487549,1632.208862,1632.208862,0,Normal,Normal,Normal
2087,1646801194.40938, e        ,udp,192.168.1.211,40330,192.168.1.21,53,2,160,CON,1646801194.409826,1854,0.000446,0.000446,0.0,0.000446,0.000446,0.000446,1,1,72,88,2242.152588,0.0,0.0,0,Normal,Normal,Normal
2088,1646801194.409398, e        ,udp,192.168.1.211,40330,192.168.1.21,53,2,144,CON,1646801194.409836,1855,0.000438,0.000438,0.0,0.000438,0.000438,0.000438,1,1,72,72,2283.10498,0.0,0.0,0,Normal,Normal,Normal
2089,1646801194.4094038, e s      ,tcp,192.168.1.21,43393,192.168.1.164,514,124,17802,E,1646801195.34706,15,0.937656,0.937656,0.0,0.937656,0.937656,0.937656,62,62,13338,4464,131.178177,65.05584,65.05584,0,Normal,Normal,Normal
2090,1646801194.410161, e        ,tcp,192.168.1.211,39896,192.168.1.21,21,37,3120,sSEfF,1646801194.450602,1856,0.040441000000000005,0.040441000000000005,0.0,0.040441000000000005,0.040441000000000005,0.040441000000000005,18,19,1364,1756,890.18573,420.365479,445.092865,0,Normal,Normal,Normal
2092,1646801194.414378, e        ,udp,192.168.1.21,49000,8.8.8.8,53,1,86,INT,1646801194.414378,1858,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0,Normal,Normal,Normal
2093,1646801194.41786, e        ,udp,192.168.1.211,35715,192.168.1.21,53,2,160,CON,1646801194.418292,1859,0.000432,0.000432,0.0,0.000432,0.000432,0.000432,1,1,72,88,2314.814697,0.0,0.0,0,Normal,Normal,Normal
2094,1646801194.4178689, e        ,udp,192.168.1.211,35715,192.168.1.21,53,2,144,CON,1646801194.4183,1860,0.000431,0.000431,0.0,0.000431,0.000431,0.000431,1,1,72,72,2320.185547,0.0,0.0,0,Normal,Normal,Normal
2095,1646801194.418652, e        ,tcp,192.168.1.211,34974,192.168.1.21,80,10,1330,sSEfF,1646801194.4210439,1861,0.002392,0.002392,0.0,0.002392,0.002392,0.002392,6,4,557,773,3762.541748,2090.301025,1254.180542,0,Normal,Normal,Normal
2096,1646801194.4214554, e        ,udp,192.168.1.211,48077,192.168.1.21,53,2,160,CON,1646801194.42278,1862,0.001325,0.001325,0.0,0.001325,0.001325,0.001325,1,1,72,88,754.71698,0.0,0.0,0,Normal,Normal,Normal
2097,1646801194.4214618, e        ,udp,192.168.1.211,48077,192.168.1.21,53,2,144,CON,1646801194.422786,1863,0.001324,0.001324,0.0,0.001324,0.001324,0.001324,1,1,72,72,755.287048,0.0,0.0,0,Normal,Normal,Normal
2098,1646801194.423273, e        ,tcp,192.168.1.211,34976,192.168.1.21,80,10,1330,sSEfF,1646801194.425265,1864,0.0019920000000000003,0.0019920000000000003,0.0,0.0019920000000000003,0.0019920000000000003,0.0019920000000000003,6,4,557,773,4518.072265999999,2510.040039,1506.024048,0,Normal,Normal,Normal
2099,1646801194.426623, e        ,udp,192.168.1.211,55315,192.168.1.21,53,2,160,CON,1646801194.427011,1865,0.000388,0.000388,0.0,0.000388,0.000388,0.000388,1,1,72,88,2577.31958,0.0,0.0,0,Normal,Normal,Normal
2100,1646801194.426634, e        ,udp,192.168.1.211,55315,192.168.1.21,53,2,144,CON,1646801194.4270198,1866,0.000386,0.000386,0.0,0.000386,0.000386,0.000386,1,1,72,72,2590.673584,0.0,0.0,0,Normal,Normal,Normal
2101,1646801194.427516, e        ,tcp,192.168.1.211,34978,192.168.1.21,80,10,1334,sSEfF,1646801194.42992,1867,0.002404,0.002404,0.0,0.002404,0.002404,0.002404,6,4,559,775,3743.760498,2079.866943,1247.920166,0,Normal,Normal,Normal
2102,1646801194.431274, e        ,udp,192.168.1.211,33863,192.168.1.21,53,2,160,CON,1646801194.431577,1868,0.000303,0.000303,0.0,0.000303,0.000303,0.000303,1,1,72,88,3300.329834,0.0,0.0,0,Normal,Normal,Normal
2103,1646801194.431291, e        ,udp,192.168.1.211,33863,192.168.1.21,53,2,144,CON,1646801194.431582,1869,0.000291,0.000291,0.0,0.000291,0.000291,0.000291,1,1,72,72,3436.426025,0.0,0.0,0,Normal,Normal,Normal
2104,1646801194.431843, e        ,tcp,192.168.1.211,34980,192.168.1.21,80,10,1334,sSEfF,1646801194.433508,1870,0.0016649999999999998,0.0016649999999999998,0.0,0.0016649999999999998,0.0016649999999999998,0.0016649999999999998,6,4,559,775,5405.4052729999985,3003.00293,1801.801758,0,Normal,Normal,Normal
2105,1646801194.434052, e        ,udp,192.168.1.211,48061,192.168.1.21,53,2,160,CON,1646801194.434649,1871,0.000597,0.000597,0.0,0.000597,0.000597,0.000597,1,1,72,88,1675.04187,0.0,0.0,0,Normal,Normal,Normal
2106,1646801194.434059, e        ,udp,192.168.1.211,48061,192.168.1.21,53,2,144,CON,1646801194.434848,1872,0.000789,0.000789,0.0,0.000789,0.000789,0.000789,1,1,72,72,1267.427124,0.0,0.0,0,Normal,Normal,Normal
2107,1646801194.434982, e        ,tcp,192.168.1.211,34982,192.168.1.21,80,10,1334,sSEfF,1646801194.437892,1873,0.0029100000000000003,0.0029100000000000003,0.0,0.0029100000000000003,0.0029100000000000003,0.0029100000000000003,6,4,559,775,3092.783447,1718.2130129999996,1030.927856,0,Normal,Normal,Normal
2108,1646801194.437708, e        ,udp,192.168.1.211,43920,192.168.1.21,53,2,160,CON,1646801194.4380062,1874,0.000298,0.000298,0.0,0.000298,0.000298,0.000298,1,1,72,88,3355.70459,0.0,0.0,0,Normal,Normal,Normal
2109,1646801194.4377189, e        ,udp,192.168.1.211,43920,192.168.1.21,53,2,144,CON,1646801194.438148,1875,0.000429,0.000429,0.0,0.000429,0.000429,0.000429,1,1,72,72,2331.002197,0.0,0.0,0,Normal,Normal,Normal
2110,1646801194.438283, e        ,tcp,192.168.1.211,34984,192.168.1.21,80,10,1328,sSEfF,1646801194.44062,1876,0.002337,0.002337,0.0,0.002337,0.002337,0.002337,6,4,556,772,3851.091064,2139.494873,1283.6970210000004,0,Normal,Normal,Normal
2111,1646801194.4411714, e        ,udp,192.168.1.211,33505,192.168.1.21,53,2,160,CON,1646801194.441289,1877,0.000118,0.000118,0.0,0.000118,0.000118,0.000118,1,1,72,88,8474.576172,0.0,0.0,0,Normal,Normal,Normal
2112,1646801194.441175, e        ,udp,192.168.1.211,33505,192.168.1.21,53,2,144,CON,1646801194.441292,1878,0.000117,0.000117,0.0,0.000117,0.000117,0.000117,1,1,72,72,8547.008789,0.0,0.0,0,Normal,Normal,Normal
